Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
NCAPD3,6.948534201924821e-10,FANK1,9.81958345873314e-33,RNF151,2.6516624292433465e-19,HDAC7,3.83050423136467e-25,HSP90AA1,1.9214735982889454e-25,PFDN6,3.1667829677846923e-35,MICAL2,1.3111682778914006e-39,PHACTR2,1.5242082510436897e-15
AXIN1,7.919097065434703e-10,GRAMD1C,1.228894191330659e-32,FNDC4,3.0551395780529695e-19,SAXO1,3.5156168716757127e-25,TTC21A,1.8941417964628143e-25,LOC100996662,1.36981233318142e-34,ANKRD17,1.6387199219609058e-39,DLGAP1-AS4,1.9497622722207487e-15
XIST,8.36445463383546e-10,LINC00604,1.325413414779472e-32,PSMB9,3.450859205091267e-19,CEP112,2.8332709603857145e-25,CBX3,3.8527655553645686e-25,SPATA8,2.3847421047880393e-34,FSHR,7.95885672257723e-40,LOC107984867,1.9688950448582648e-15
ZWINT,8.827050077175992e-10,LRRC19,1.7011398210138625e-32,SMIM12,4.0400247704180535e-19,CHD5,4.3595637790012715e-25,CXCL11,7.72750341159944e-25,PCLO,2.288904814427207e-34,AARD,3.67418736416555e-39,LOC105378486,2.0823220655826743e-15
CALR,8.864007672434629e-10,LOC105373791,1.9583705207657375e-32,PPP1R12B,3.626072697980255e-19,ZHX3,4.46430611163033e-25,GLCCI1,6.504632774572652e-25,ADAMTS3,2.9964634596602544e-34,HOOK3,2.2999400221461235e-39,OGT,2.4917161829493625e-15
MEG3,9.65524251154488e-10,TENM4,1.610014479775161e-32,LOC102723406,5.436797249291361e-19,LOC105375244,5.121883431979226e-25,GPR18,7.941187159240292e-25,DNHD1,4.314608687055576e-34,LRBA,1.2084591753213712e-39,UST,2.628726141043928e-15
TOP2A,1.0122570119594185e-09,LOC107986114,2.148158173631637e-32,LINC02540,5.248739692305528e-19,LOC105378256,7.208338865835626e-25,SRPK1,8.923755696024163e-25,REXO5,5.815739936767125e-34,LOC107985854,5.3903730403526636e-39,S100A6,2.976666066757977e-15
ACTR3B,9.517718783309592e-10,C1QTNF7-AS1,1.832162374945984e-32,NUCB1-AS1,6.944719974175944e-19,SOX5,5.704449405429722e-25,SETD2,8.632327429985894e-25,LOC105379393,1.369815465177178e-33,ZNF711,5.795772220182349e-39,HMGB1,2.873903195294689e-15
PTK2,1.1058946507882082e-09,NPAS3,3.586373023479429e-32,MIEF2,8.419396505442532e-19,CT69,7.291878032443669e-25,SRSF7,8.128150568660451e-25,ANKRD18A,1.4990021290553073e-33,ALDH1A1,6.353539521438062e-39,LOC105377291,3.8694931568019665e-15
SENP3-EIF4A1,1.242640251639383e-09,CATSPERB,3.5142480730428983e-32,ZNF444,8.59434589456717e-19,S1PR2,9.925182111444914e-25,ANGPTL2,1.658991970352884e-24,ANKRD36B,2.0442421858277445e-33,SPTLC3,6.742563159414413e-39,LDB2,3.5458359095823762e-15
YDJC,1.3150455717827037e-09,RMDN2,4.567924286917099e-32,TMEM108,8.964264063263444e-19,TRMT9B,1.1405966399171504e-24,ANKRD36C,1.5769624085387716e-24,LOC101929298,1.499815557122251e-33,BIRC6,3.625494974042866e-39,VEGFC,6.4548698864606335e-15
KAZN-AS1,1.3347951349754988e-09,LOC105375812,1.0068442084998078e-31,CCDC28A-AS1,9.09774291605644e-19,SPATA1,1.3352378750582691e-24,RALGPS2,3.7621839234129506e-24,NEK10,1.0813949654316952e-33,FAM110B,8.672910981765172e-39,LOC105375463,6.422847596068742e-15
AUP1,1.3522426959744334e-09,MS4A13,1.0796168588833572e-31,PPP1R9A,1.05248148712569e-18,TEX29,1.319385967382121e-24,ADAD2,7.239284786042021e-24,LOC105371310,2.3416908490491504e-33,ARGLU1,1.382878691159387e-38,OPHN1,6.4569186548956994e-15
HERC5,1.532636535522246e-09,LOC105372593,1.7173703087762815e-31,LOC102467216,1.05248148712569e-18,N6AMT1,1.2800520139271665e-24,RAD54L,8.63876027870511e-24,BAZ2B,1.542031089410654e-33,BEX3,1.7890859328393906e-38,RXFP2,6.4709527389285654e-15
LINC00540,1.5785815765244788e-09,COL21A1,1.5814187612272889e-31,HERC1,9.833086885133397e-19,PPM1J-DT,3.0246357284366316e-24,CCT6B,7.746156927086234e-24,BCL2L1,2.64357059284872e-33,ITFG1,1.0827100967774792e-38,HDAC2-AS2,6.5153727902904344e-15
KATNBL1,1.5641806983328093e-09,CCDC175,2.333064621868965e-31,FBH1,1.1053386762960937e-18,ODAD2,2.604187176769426e-24,LOC105376011,8.94767366614505e-24,RYR3,3.088505884567219e-33,SGCZ,1.812594194689754e-38,TENM3,6.278260431003523e-15
JMJD1C,1.642369955489548e-09,AK8,2.2902257949492584e-31,NDUFA9,1.2908913978328077e-18,FLJ40194,3.1464175056499364e-24,SYN3,8.54487673788513e-24,PALS2,4.3940042803314884e-33,JAM2,2.292531583138846e-38,FTL,7.095038765109238e-15
SPECC1L,1.7974239614457079e-09,KIF6,3.763828985052189e-31,ZNF529,1.2657626622070806e-18,LINC00869,3.217716134833312e-24,C14orf39,1.2460143497351501e-23,LIN7A,7.003542765242517e-33,EVI5,2.48305917478599e-38,IFI16,8.178755105659577e-15
amplicon-chrY-DAZ1/2/3/4,1.8956463212103475e-09,LINC01322,5.149683577632562e-31,LINC01194,1.759316240116693e-18,BEND7,4.0673877634269305e-24,DDX19B,1.3756141794512328e-23,PEBP4,5.8613259715820477e-33,FATE1,4.1855503882466546e-38,GNAQ,8.868909265410922e-15
NOP56,1.9618681338624823e-09,SCN9A,4.729043153245187e-31,CSPP1,1.710399695920907e-18,SYMPK,4.593758241390131e-24,HNRNPH3,1.6562239184998287e-23,CLDN14,1.2457007141167353e-32,HELZ,2.939198541545511e-38,C7,1.0178199298107688e-14
PAGE1,2.225370177978832e-09,DEUP1,5.268299683561838e-31,FAM153A,2.2654001113582596e-18,USO1,4.235193732638623e-24,SAYSD1,2.063483109070704e-23,DNAAF8,2.8898587241586005e-32,IGF1R,2.365356793665924e-38,LOC102723690,1.3301306206001675e-14
LDLRAD4,2.142188377719013e-09,TTC23L,7.064697264299485e-31,LOC105376108,2.244890965261724e-18,LRBA,3.546137051734795e-24,LOC107984736,1.800807115513672e-23,ANKS1B,1.288231908152268e-32,SNHG8,5.216218044875911e-38,NPHS1,1.3992483185583251e-14
RHOT2,2.214803211173755e-09,C9orf116,1.0740258050302313e-30,LRRC37B,2.346449457376425e-18,TEX51,4.389408551622415e-24,NDUFAF2,2.5359013365352497e-23,LOC105372962,5.226466688660532e-32,PRAME,1.1265316410263102e-37,NRXN1,1.3930074585499073e-14
RPS25,2.3058136010713356e-09,NEK10,7.480210029964037e-31,FAM209B,2.366073165520316e-18,LOC101929492,4.483991567483836e-24,LOC101927978,3.235846140714381e-23,MYCBP2,4.548160719182054e-32,RPS21,9.679318487625003e-38,HS3ST4,1.591040917972589e-14
SPECC1L-ADORA2A,2.3748695028309474e-09,LOC107986539,1.121713261155886e-30,ITGA11,2.7143522066302765e-18,CALD1,5.0730252757609724e-24,SYCP3,3.78966486198951e-23,CCDC178,3.8151942983763757e-32,PDLIM5,1.110580361453927e-37,SPIDR,1.63617340947088e-14
HS3ST4,2.4019656978159032e-09,GPC6-AS1,1.6909600259077533e-30,BTBD9,2.4295684542156872e-18,FRG1-DT,8.714765026594305e-24,LRRIQ3,3.677364620107e-23,TTLL5,5.253707805627373e-32,JAZF1,8.894602668727243e-38,ARHGAP21,1.7669433013025987e-14
JADE3,2.455422885215711e-09,LOC105370061,2.0214520408390497e-30,TMEM117,2.65713762923958e-18,LOC101930434,1.0637438727880995e-23,NBEA,3.677364620107e-23,NUTM2B-AS1,1.5493126739948088e-31,PTPN13,1.1934167178998422e-37,KCNJ3,1.9748819920450527e-14
RNF34,2.5870423359920943e-09,LOC105378690,1.4035051354853558e-30,LINC01921,3.1672933939806066e-18,CNGB3,9.776696588121782e-24,KLHDC1,4.65258833707959e-23,ROBO2,6.673252284583347e-32,DGKB,1.6036607769915916e-37,PTCH1,2.0613418821925076e-14
IGSF9B,2.6769020941679354e-09,CCDC192,1.924007356397754e-30,SAMD4A,2.822550473734313e-18,MORN3,1.2420628428886699e-23,FBXL4,5.737280317878777e-23,LOC105374739,2.6121966307750856e-31,PHIP,1.5062326248688563e-37,PKP4,1.9861407425467544e-14
ZFYVE9,2.6647238959632055e-09,CFAP58,2.2413295486726913e-30,LOC105376017,3.2278828044515607e-18,LOC105377284,1.2703924460810174e-23,HPSE2,6.396941268623069e-23,TRIM14,3.608472937853137e-31,PLXNC1,1.8355964738991426e-37,RALYL,2.1134924627931984e-14
RNF216,2.7147907251402966e-09,CCL28,2.3592543130333047e-30,LOC105375259,3.3688273305562307e-18,MAP4,1.1787457793463431e-23,PHF1,6.448868281220586e-23,C2CD6,3.154517261564653e-31,MLXIPL,3.1628707292973594e-37,CACNA2D3,2.1314125502528812e-14
ABHD12,2.962627943053137e-09,ANKAR,5.2207837596123064e-30,CDYL,2.9294170048384192e-18,GOLGA6L9,1.628381598893633e-23,PWWP3A,8.967154629503911e-23,PPP1R12A-AS1,4.734966488092785e-31,ME1,2.630782445038553e-37,LOC105373598,2.4678265035361342e-14
PDCD5,2.98920594946576e-09,TSGA10IP,5.9188956260367616e-30,LOC105378635,3.817985640736649e-18,FHIT,1.3625464142838213e-23,STRC,1.0020419026745153e-22,NSMCE1,3.538863611621251e-31,GRN,6.4669489185494685e-37,SAMD5,2.4328632686178537e-14
EYA3,3.1781915631747466e-09,RMDN2-AS1,6.321125680741296e-30,LINC01695,3.8314755570079905e-18,SLC25A37,2.3977421198361532e-23,STIM1,1.487541394433562e-22,ZNF609,2.669914497475716e-31,HUWE1,5.54190619898446e-37,SYT1,2.64920846764847e-14
ADIPOR2,3.2306453371467113e-09,CCDC63,5.9188956260367616e-30,LOC105376819,4.651723277117172e-18,ACSM6,2.5110911484357714e-23,EEFSEC,2.0079047343896792e-22,FBXO43,6.623460598128615e-31,RAPGEF5,6.387169925521429e-37,SELENOP,2.9255434184938375e-14
CDK6,3.3780131530294735e-09,DYNC2LI1,6.355284927036384e-30,OAZ3,4.6876235606701695e-18,TEX33,3.2888206999604544e-23,CGGBP1,1.9150871558876294e-22,LOC105378041,7.280287343742579e-31,GNAQ,4.935651203779955e-37,DDX18,2.731564005308526e-14
R3HDM2,3.3559606334983343e-09,CEP126,5.8971022252806406e-30,FHIP1A,5.151976011364317e-18,GPI,4.9738054508923294e-23,GFPT1,2.371068939890006e-22,CDKN2B-AS1,1.129899316474643e-30,SGCE,8.14422753308852e-37,ACTB,2.772052654596778e-14
NUBP2,3.5328324932859822e-09,LOC105379149,1.1326640120553898e-29,CUEDC1,5.565874643708728e-18,LOC105375971,5.781370021740344e-23,LDHC,2.147154323921961e-22,HNF4G,1.168421470934646e-30,ACTB,9.302787487549447e-37,ZEB2,2.961071500158871e-14
RRM2,3.523423488219738e-09,ERICH6,1.0937769923476686e-29,PEX10,5.964498688341277e-18,ACE,5.844195105609938e-23,C1orf35,3.2214159266033445e-22,CCT6B,1.1298331443118094e-30,NCOA7,1.400164510793457e-36,LINC01692,3.4894769891833503e-14
EMC6,3.544481025066782e-09,LOC107986907,1.7789479132649215e-29,LOC107986223,5.798181868785468e-18,TMEM184C,7.0926058911652e-23,LOC112268318,4.864090202976391e-22,SLC31A2,1.8272315313700853e-30,GGCT,2.5939333559918556e-36,LINC01019,3.817477185476388e-14
PIDD1,3.696345616441452e-09,LOC101927978,1.3495535234273047e-29,EHBP1,5.805312996385572e-18,COL3A1,6.363260640525823e-23,ASH1L,4.95269084752028e-22,COX7B2,9.296989873082948e-31,WIPF3,2.201586336720163e-36,KCND2,4.4137467995334207e-14
ZNF850,3.855664286732513e-09,ACR,1.886921479185594e-29,TEX29,6.4574598234766646e-18,ACRV1,7.868883990777466e-23,TEX14,6.182427082015711e-22,ERBIN,1.4488365995923576e-30,ARHGAP11A-SCG5,2.3455502236218356e-36,LOC101929278,6.920870148788074e-14
SRSF7,3.75827871880314e-09,PDE1A,2.478367879261804e-29,LOC100288123,7.65421142707259e-18,IBA57,1.0527335836091598e-22,TSACC,8.128758949027555e-22,MAML3,1.1993640992155282e-30,GRAMD1A,3.054443671589246e-36,RNF150,6.625780623239321e-14
FAM3B,4.4418550326577534e-09,CHODL-AS1,4.4502653720529434e-29,DOCK1,7.094114790454884e-18,amplicon-chrX-PABPC1L2A/B,1.3239615464747493e-22,SHCBP1L,8.581475951140785e-22,LINC01206,2.0393050819034825e-30,AKAP12,4.053145889529256e-36,CASC20,6.969497128886943e-14
C1orf35,4.611059640989696e-09,ARHGAP15,4.933039686985708e-29,PCCB,7.65421142707259e-18,TMEM262,1.2413103291101409e-22,PPP4R4,1.393132898804533e-21,FAM181A,2.1764084729045268e-30,SPARCL1,4.55038740750738e-36,JMJD1C,8.355096177680261e-14
SNRPA,4.732071976294427e-09,LOC105375346,7.309935493779231e-29,MIPOL1,8.546253542596943e-18,AKNAD1,1.189158702412736e-22,ARID2,1.3403957752927737e-21,IVD,3.935316860272669e-30,MTRNR2L9,6.026746462476674e-36,LOC101928354,8.778189522303361e-14
ITGB3BP,4.772212745432012e-09,SPAG17,4.957728776462441e-29,ST3GAL3,8.165119378102315e-18,LOC105379172,1.2991209432817294e-22,EPS15,1.4339142428819101e-21,PIWIL1,4.579942159275531e-30,ENPP2,4.274303275854231e-36,SFRP2,1.058318741794138e-13
EIF4A1,4.883087587264359e-09,PAM,6.605620195568124e-29,DSG2-AS1,1.0790421664962464e-17,PRSS54,1.3835022302230072e-22,JMJD1C,1.503659405553314e-21,LOC107986183,5.085973019562095e-30,TNIK,2.3035346222283485e-36,CALD1,9.972569227291871e-14
KIF22,5.062345168749961e-09,CSNKA2IP,7.650799409860983e-29,STAT6,1.0257992370488296e-17,SLC35F3,1.4886107280556508e-22,GRINA,1.755974310601458e-21,LINC01182,5.610072375678646e-30,EPB41L2,3.280916300050367e-36,DLGAP1,1.022253731199803e-13
NSF,5.409347226789658e-09,LOC107984215,8.995664100359337e-29,RAB21,1.0567249529258244e-17,MAP1LC3A,1.7055489460613582e-22,CDC20B,2.3865093919491745e-21,MAP3K20-AS1,5.723159433046749e-30,FXYD6,6.683251423475611e-36,RHOBTB3,1.2361731896936142e-13
SPCS3,6.694397173003612e-09,LOC105371070,1.1632517440990098e-28,CEP170,1.0671856789546214e-17,GBF1,1.8050441896451613e-22,MNAT1,2.235840476226815e-21,KDM4C,5.098130058636604e-30,RGS17,1.0253836481614868e-35,THSD4,1.1471961499726972e-13
CPEB1,7.1412470456684185e-09,LINC02223,1.5433249190716228e-28,ABLIM2,1.2277367771780409e-17,LOC105376176,2.502179491038744e-22,KLC4,2.921332421821691e-21,TMEM217,1.0304490405132318e-29,ELL2,9.830083477589288e-36,ZNF638,1.3514044649848133e-13
DROSHA,7.665597622410038e-09,CFAP20DC,1.3987786268571345e-28,LOC105374524,1.4172463591044433e-17,LOC105370194,2.492393891368358e-22,SFMBT1,2.894735941989301e-21,ECM2,1.0628875228840363e-29,BRWD3,9.444269567097445e-36,UACA,1.642800939734665e-13
LOC105375492,7.961268291075201e-09,COL25A1,1.8493565794953496e-28,GORASP1,1.51672845494864e-17,NDUFA5,2.688320489591577e-22,MTCH2,2.9730493969568745e-21,P2RY14,1.3912480833061867e-29,WNK3,9.493258011876671e-36,LINC00333,1.6012313249132223e-13
LINC00971,8.241493208134538e-09,NBPF4,4.390379201845521e-28,FAM241B,1.795569879974622e-17,EYA1,3.0347070832725504e-22,HAUS5,4.082403643319617e-21,MARCHF11,2.069695207387083e-29,ERP29,1.4237711564408186e-35,TMEM117,1.94120870871723e-13
SMCHD1,8.241493208134538e-09,TTLL7,4.071016920687128e-28,CD44,2.0119335225303063e-17,ZNF32-AS3,3.7706445222308387e-22,DSCR8,4.763043481813318e-21,CDC20B,3.892265637862415e-29,MBD5,7.069157518335146e-36,PDIA4,2.2738635938084703e-13
PNMA5,8.938923286862322e-09,C20orf96,5.922110593428691e-28,NCDN,2.189964321903576e-17,AGBL3,3.7420011309986653e-22,NSD2,4.529972566558885e-21,TMPRSS12,3.144215664268733e-29,PWWP3B,4.084425643778718e-35,LOC105373673,2.1753329298398074e-13
MSH5-SAPCD1,9.587010291493804e-09,LINC00968,6.923959834689539e-28,DND1,2.4550272429215224e-17,SMG7-AS1,4.4114590940623025e-22,ABCA5,4.625842387288809e-21,TRIM69,7.473205450254664e-29,SUSD3,6.184165775429883e-35,TXNIP,2.677542644673061e-13
ERGIC3,9.504442924081695e-09,TMEM249,8.792019928095387e-28,LOC105376176,2.6760536551205082e-17,LOC101927079,5.2989023728713e-22,ILF3,5.028176489289912e-21,MAGEC3,7.873114262632368e-29,SWT1,4.60899501905181e-35,FBP1,2.65943999867104e-13
AOPEP,9.383989920578103e-09,FHAD1,7.113171873234287e-28,AGAP11,2.6300671902810644e-17,HEMGN,5.284630374509777e-22,EFCAB2,4.729033234764522e-21,GRK3,5.989062394385687e-29,ALDH1A2,5.521197443143126e-35,LINC01889,3.5050495445369244e-13
ANKS3,9.67919125041144e-09,ELAVL2,1.2051789696055855e-27,TTLL11,3.1441352188068426e-17,LINC01609,6.514981925357148e-22,FANCD2,6.809003176342597e-21,WDR97,8.739178155771539e-29,XPO1,6.126346686861886e-35,FGFR1,3.5251937793696236e-13
TMEM59,9.913310007529276e-09,CFAP221,1.807432564352735e-27,CTB-30L5.1,4.091729712362602e-17,RAI14,5.721900623287542e-22,RASSF1,7.039171723538411e-21,SEMA3A,7.540834950399402e-29,TTC17,7.533826627064853e-35,ATG7,3.6257906487122396e-13
NAE1,1.006487454125694e-08,TSBP1-AS1,1.777362234562991e-27,ATXN7L3,5.265266699506567e-17,GRB10,7.056875746059206e-22,IZUMO4,7.740136086409993e-21,CRYBG3,8.753673861304392e-29,DAAM1,1.3086456179059868e-34,VTI1A,3.5804105100621635e-13
RPS2,1.0048546290986369e-08,FSIP1,2.1678526712030667e-27,LOC105376654,6.07236534038614e-17,LOC105369844,8.336998544694836e-22,SKAP1,1.025260196790071e-20,TIAL1,9.876625992861201e-29,CDH23,1.2298322974609668e-34,DDAH2,4.340082440397186e-13
LOC105372772,9.906567935961563e-09,ARMC3,2.0124456336193013e-27,CHN2,5.375170886306601e-17,LOC101928472,1.0717027871357927e-21,SPATA5,1.3603353317612375e-20,LOC105375751,8.666343575572808e-29,WSB1,1.3171325248181247e-34,SDC2,4.4374171451032244e-13
RNF2,1.1496988639097023e-08,LOC107986377,3.857655446747181e-27,FAT3,6.652614028749133e-17,COL7A1,1.2855146767580419e-21,TMEM232,1.7476829910987256e-20,CAMKMT,5.564709883575238e-29,QSOX1,1.7065127176686424e-34,COL1A2,4.826463538414429e-13
SRSF2,1.1376518468340198e-08,LOC107985848,4.616185730066091e-27,CIB2,7.329985148965671e-17,PID1,1.2625419452714425e-21,CCDC18,2.0284007017488777e-20,ADD3-AS1,1.330367422890361e-28,SOX4,1.7168134436440791e-34,NCKAP5,5.203782083866281e-13
PTPN4,1.1567328446649331e-08,SCFD2,3.268620955946254e-27,AVP,7.482356081613794e-17,DNAH3,1.3185358964616367e-21,THAP7,2.513144575633871e-20,NOP53,2.09281383145847e-28,CLEC18B,2.87830572291962e-34,CST3,6.72619525693681e-13
MEIOSIN,1.209178250101055e-08,WDR64,3.60694585890523e-27,AKNAD1,8.84033952401358e-17,IZUMO1,1.6991766384543577e-21,IAH1,3.527843596184921e-20,ACER3,1.0582722821459985e-28,CNTLN,1.6343312295473846e-34,PRRX1,7.291515587952961e-13
FILIP1L,1.1654251364270036e-08,G2E3-AS1,4.462284730126287e-27,LINC01389,9.790959870999458e-17,TMEM266,1.6106169957512625e-21,SOX2-OT,3.121899920302589e-20,KRTCAP2,2.0164340820766488e-28,RHOBTB3,2.2037930063047077e-34,LINC01706,7.987521288877971e-13
MFSD10,1.2382129133297712e-08,ARMC2-AS1,5.590503691196075e-27,LOC112268148,1.0604065809324718e-16,CD46,1.6475748401418218e-21,SPAG9,2.8343128986631327e-20,MAFB,3.8286636981779295e-28,APOC1,3.631980728065537e-34,LINC02698,7.925687862719247e-13
APRT,1.2469864664586962e-08,PLCL1,7.836101444144288e-27,FAM161B,1.1050262292125302e-16,ZNF513,1.9701436206723426e-21,LOC107984714,4.593753895767617e-20,SLC24A5,3.3003102843734926e-28,SF3B1,4.201083809661227e-34,COL15A1,8.467729516811421e-13
RMDN3,1.2507237609153692e-08,LOC107984207,9.254806564618372e-27,PFN2,1.020178149251554e-16,GOLGA6C,1.9751279104476845e-21,MBD6,4.87155099726302e-20,SPATA33,4.9798068306364405e-28,SORL1,4.415120620688773e-34,HNRNPDL,9.388092891850395e-13
WNT10B,1.2718466980500906e-08,IL7,8.334432643202302e-27,TLR7,1.1097382942523204e-16,GOLGA6A,1.8917597691629236e-21,NRG4,4.6042486165956956e-20,DNAH12,6.602966918867472e-28,OOSP2,5.86863067207619e-34,IMMP2L,9.287530143584488e-13
ELOB,1.251364257846682e-08,GGT2,1.1649534703068629e-26,MORC1,1.137915646192558e-16,NOL4,2.1797205324442593e-21,LOC107984784,7.384870220839386e-20,LOC102723502,1.746735283698304e-27,RB1,3.6934106807056254e-34,LAMC3,1.0116394332321711e-12
ZNF98,1.2932602390301592e-08,LY6G5C,1.2618465019035378e-26,GSTO2,1.2114629955340692e-16,NAA11,2.3679703887775e-21,NFAT5,6.383472682524684e-20,WARS2,9.683147828794415e-28,FAM133A,8.093975666976731e-34,ADAM23,1.0398571992196914e-12
POLR2L,1.353440361434951e-08,METTL15,7.914404527504948e-27,EDRF1,1.2167484900160815e-16,C4orf47,2.2411091329496403e-21,LINC02478,9.930372196678488e-20,TMIGD3,1.6994922793780335e-27,TFB1M,6.2246638668305555e-34,ARX,1.1764569283500387e-12
CYYR1-AS1,1.353440361434951e-08,HEATR9,1.2327256736797663e-26,SYS1,1.318441389807501e-16,PXDNL,2.8690148709322212e-21,RING1,9.080812101191321e-20,ACYP1,1.6726566762176512e-27,CLCN5,9.1351430331209e-34,LOC105376418,1.1672427418383538e-12
APLP2,1.498997879059042e-08,ACSM3,1.1348669461025073e-26,MICALL1,1.3763224814336004e-16,FAM53C,3.443661522546945e-21,LINC02864,9.269101947854533e-20,TPM4,1.6574759316128988e-27,LOC114841035,7.757533669076364e-34,ATP10D,1.1743845259866666e-12
COPS9,1.5298648502805577e-08,LINC00410,1.4206902948162264e-26,FAM166A,1.323313763608635e-16,PDILT,4.354967776636164e-21,ZSWIM8,1.1104816796946532e-19,NDUFAF3,2.3744220567548927e-27,FKBP2,7.757533669076364e-34,SPRED2,1.1159481779571296e-12
SSB,1.5249796001257065e-08,CMC1,1.3800073196564094e-26,LOC105374655,1.3365215547058348e-16,EPB41L3,4.538546804761902e-21,UNC79,1.3807022834521673e-19,COX7A2,2.7507954813558547e-27,FHOD1,1.5049698474291568e-33,COL4A5,1.268150620924843e-12
PSMD2,1.536698253685849e-08,TTC26,1.6703883295431317e-26,TP53TG5,1.482986603976289e-16,DNAJC5B,5.346491812598669e-21,RANBP17,1.4544169281582622e-19,NRXN1,3.1623263407986327e-27,DDX17,1.1539644846790924e-33,WSB1,1.2663551260933755e-12
MEIOB,1.5122069549130437e-08,TEKT4,2.46212740695118e-26,ZBTB47,1.489133147089863e-16,ASB15,6.691070164681673e-21,SIK3,1.6403058033045374e-19,CETN1,3.540703845449805e-27,EPPIN-WFDC6,3.892149665265522e-33,GLG1,1.2477828294137743e-12
JPX,1.555749061208065e-08,CDKL3,1.4714961875399428e-26,IL20RB-AS1,1.523864915842747e-16,WNT9A,7.84351051395612e-21,CCDC152,2.2285142037255854e-19,C2orf76,4.464532863445476e-27,ARHGAP20,3.27591731044121e-33,ROR2,1.3022012315668358e-12
TMEM131L,1.5460032693656385e-08,PCDH9-AS3,2.857864586340882e-26,IRF1,1.6121818205754536e-16,IGSF11,6.726528651617824e-21,CCDC144A,1.9707770279363533e-19,PGPEP1L,6.708675320535452e-27,TRIO,3.9096579652405745e-33,ITGB1,1.463723755837343e-12
BUD23,1.699116184135722e-08,LOC105373673,2.446358823237597e-26,LINGO2,1.4194698839401256e-16,SVOP,9.417750534317583e-21,NSUN7,2.2166094518565084e-19,LINC01015,7.817086757190344e-27,ND4,8.262202618757229e-33,ASPH,1.4647020554150385e-12
TUBG1,1.7581626351487348e-08,DNAI2,3.1803384748549965e-26,GPI,1.4850152389740997e-16,DENND1A,9.346667670326503e-21,ANKRD36B,2.543433665102029e-19,ASPN,6.8007502133936e-27,ANKDD1B,7.827803964875346e-33,ANKIB1,1.5421692633218866e-12
NDUFS3,1.8116851877203425e-08,LOC105378938,4.547823860111826e-26,PITPNA-AS1,1.651906127238402e-16,LOC105370956,1.3008559504644153e-20,ACD,2.614474035007794e-19,SHPK,7.883255576149246e-27,SMIM10,1.0348978134248266e-32,LYPLAL1,1.6182351765951861e-12
RNF121,1.8611391008492457e-08,VPS13A,3.624252513048079e-26,ZNF32-AS3,1.8026091093093927e-16,RGS22,1.1252880027650566e-20,FBXO43,2.907183235625439e-19,MRPL43,8.477310713009953e-27,WNK2,9.092252238937234e-33,PLSCR4,1.958148939975336e-12
LOC105373387,1.987705859667717e-08,PFN4,5.376652712397863e-26,CCS,1.7889518773710392e-16,ZNF420,1.5183257385744985e-20,MRTFB,2.783892994417186e-19,LOC646762,1.0620124536587611e-26,EPPIN,1.1278544484587611e-32,MAN1A1,1.9304734648920435e-12
POU2F2,2.0317263591822192e-08,SPATA4,6.527480309713346e-26,TVP23C-CDRT4,1.8980571107593935e-16,MMADHC-DT,1.7331689533650767e-20,ANKRD18A,4.0775594966392075e-19,TSGA10IP,1.0409838605458125e-26,GADD45G,1.4911382015354874e-32,LOC101928362,1.958148939975336e-12
SAP25,2.069026367902687e-08,MNS1,6.205889393788404e-26,MYOM3,2.402269997907021e-16,GLT6D1,1.8440814379137752e-20,PBX4,4.461764015820927e-19,TMEM161B-DT,1.1156538796811902e-26,NECTIN3,9.137469990930739e-33,LINC02253,1.978725620539589e-12
TRAPPC6A,2.104160614553149e-08,DNAI1,8.164225621863334e-26,PHLPP1,2.4172326123963705e-16,PFN3,2.2332606576204934e-20,PIWIL2,4.413009818962071e-19,AKAIN1,1.3983396651828297e-26,LRP1,1.2580545758122293e-32,TANC1,1.9404334765685255e-12
LOC101928354,2.1005354485994936e-08,RIT2,9.136300779478808e-26,ZNF487,2.5578595421045407e-16,ACADL,2.246133653977561e-20,LINC02222,4.920355185045467e-19,LOC102724528,1.5502156749454424e-26,SMARCA1,2.0237470219971804e-32,DMD,2.033857833374833e-12
SYCE1,2.1701188613778825e-08,SOX6,9.276249245074252e-26,LOC101929305,3.12891478261056e-16,LOC107984220,2.7179473883255424e-20,KRTCAP2,4.458219993226928e-19,NNT,2.3480974046646725e-26,RBM41,2.2946909156104326e-32,TCF7L1,2.446745746640773e-12
CIRBP,2.1166923558102054e-08,CCDC13,1.2691475891672885e-25,GALNT18,3.1265769772272236e-16,GSTO2,2.819411593918143e-20,MACROD2,3.646904609983941e-19,IHO1,1.8611801979963492e-26,ACE2,3.3181935841937124e-32,FOXO3,2.58736686394753e-12
SND1,2.180104666647678e-08,TCEANC2,1.8126401722413415e-25,SUCLG2,3.105692024086106e-16,SCN9A,2.658609830365333e-20,HSF5,5.166289153819885e-19,LOC107984089,2.98764689344174e-26,ZEB2,2.8796394119217626e-32,IGFBP4,2.923763984758289e-12
